"NN GROUP";"NL0010773842";"NN";"Euronext Amsterdam";"EUR";"38.92";"38.94";"38.28";"38.32";"12/11/2018 17:38";"CET";"806157";"30987467.80"
"NOVISOURCE";"NL0010696704";"NOVI";"Euronext Amsterdam";"EUR";"1.00";"1.00";"1.00";"1.00";"12/11/2018 12:33";"CET";"789";"789.00"
"NSI N.V.";"NL0012365084";"NSI";"Euronext Amsterdam";"EUR";"36.60";"36.75";"36.40";"36.60";"12/11/2018 17:35";"CET";"12334";"450814.05"
"OCI";"NL0010558797";"OCI";"Euronext Amsterdam";"EUR";"25.30";"25.50";"24.99";"24.99";"12/11/2018 17:35";"CET";"140831";"3547973.20"
"ORANJEWOUD A";"NL0000370419";"ORANW";"Euronext Amsterdam";"EUR";"5.55";"5.55";"5.55";"5.55";"12/11/2018 16:30";"CET";"45";"249.75"
"ORDINA";"NL0000440584";"ORDI";"Euronext Amsterdam";"EUR";"1.602";"1.602";"1.552";"1.556";"12/11/2018 17:35";"CET";"295492";"463388.42"
"PERSHING";"GG00BPFJTF46";"PSH";"Euronext Amsterdam";"USD";"14.76";"14.78";"14.60";"14.62";"12/11/2018 17:35";"CET";"9228";"119995.50"
"PHARMING GROUP";"NL0010391025";"PHARM";"Euronext Amsterdam";"EUR";"0.92";"0.92";"0.84";"0.8415";"12/11/2018 17:35";"CET";"12546367";"10978627.21"
"PHILIPS BUY BACK";"NL0000009322";"INPHI";"Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"PHILIPS KON";"NL0000009538";"PHIA";"Euronext Amsterdam";"EUR";"33.87";"33.96";"33.395";"33.49";"12/11/2018 17:35";"CET";"2525191";"84910061.27"
"PORCELEYNE FLES";"NL0000378669";"PORF";"Euronext Amsterdam";"EUR";"9.50";"9.50";"9.50";"9.50";"09/11/2018 16:30";"CET";"100";"950.00"
"POSTNL";"NL0009739416";"PNL";"Euronext Amsterdam";"EUR";"2.417";"2.473";"2.408";"2.419";"12/11/2018 17:35";"CET";"4644084";"11301001.43"
"PPLA CLASS A";"BMG7209L1000";"PPLAA";"Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"PPLA CLASS B";"BMG7209L1182";"PPLAB";"Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"PPLA European Unit";"US69355L1098";"PPLA";"Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"PROBIODRUG";"DE0007921835";"PBD";"Euronext Amsterdam";"EUR";"3.19";"3.27";"3.12";"3.15";"12/11/2018 17:35";"CET";"22585";"72316.17"
"RANDSTAD NV";"NL0000379121";"RAND";"Euronext Amsterdam";"EUR";"44.00";"44.15";"43.11";"43.13";"12/11/2018 17:35";"CET";"315062";"13638047.51"
"REINET INVESTMENTS";"LU0383812293";"REINA";"Euronext Amsterdam";"EUR";"15.00";"15.00";"14.30";"14.30";"12/11/2018 15:44";"CET";"2060";"30354.00"
"RELX";"GB00B2B0DG97";"REN";"Euronext Amsterdam";"EUR";"17.89";"17.915";"17.71";"17.90";"12/11/2018 17:35";"CET";"1051077";"18767150.28"
"RETAIL ESTATES";"BE0003720340";"RET";"Euronext Brussels, Amsterdam";"EUR";"72.10";"72.50";"71.80";"72.10";"12/11/2018 17:35";"CET";"1917";"138436.60"
"ROODMICROTEC";"NL0000440477";"ROOD";"Euronext Amsterdam";"EUR";"0.266";"0.266";"0.258";"0.258";"12/11/2018 17:01";"CET";"51567";"13487.55"
"ROODMICROTECWAR2";"NL0011556972";"WROD2";"Euronext Amsterdam";"EUR";"0.022";"0.022";"0.022";"0.022";"02/11/2018 14:00";"CET";"4";"0.09"
"ROYAL DUTCH SHELLA";"GB00B03MLX29";"RDSA";"Euronext Amsterdam";"EUR";"28.01";"28.305";"27.785";"27.785";"12/11/2018 17:39";"CET";"8397974";"235143268.36"
"ROYAL DUTCH SHELLB";"GB00B03MM408";"RDSB";"Euronext Amsterdam";"EUR";"28.825";"29.30";"28.525";"28.525";"12/11/2018 17:35";"CET";"6376";"184848.34"
"SAINT GOBAIN";"FR0000125007";"SGO";"Euronext Paris, Amsterdam, Brussels";"EUR";"32.00";"32.11";"31.04";"31.10";"12/11/2018 17:30";"CET";"2216581";"69312593.55"
"SBM OFFSHORE";"NL0000360618";"SBMO";"Euronext Amsterdam";"EUR";"14.815";"15.16";"14.645";"14.65";"12/11/2018 17:35";"CET";"866057";"12869973.33"
"SIF HOLDING";"NL0011660485";"SIFG";"Euronext Amsterdam";"EUR";"14.04";"14.04";"13.62";"13.66";"12/11/2018 17:35";"CET";"12497";"172919.98"
"SIGNIFY NV";"NL0011821392";"LIGHT";"Euronext Amsterdam";"EUR";"22.40";"22.40";"21.89";"22.00";"12/11/2018 17:35";"CET";"682793";"15089501.87"
"SLIGRO FOOD GROUP";"NL0000817179";"SLIGR";"Euronext Amsterdam";"EUR";"39.85";"40.75";"39.75";"39.95";"12/11/2018 17:35";"CET";"45004";"1808106.45"
"SNOWWORLD";"NL0010627865";"SNOW";"Euronext Amsterdam";"EUR";"8.82";"8.82";"8.80";"8.80";"09/11/2018 09:12";"CET";"210";"1848.20"
"STERN GROEP";"NL0000336303";"STRN";"Euronext Amsterdam";"EUR";"14.70";"14.75";"14.45";"14.60";"12/11/2018 16:35";"CET";"4241";"61765.35"
"TAKEAWAY";"NL0012015705";"TKWY";"Euronext Amsterdam";"EUR";"56.00";"56.00";"52.10";"52.30";"12/11/2018 17:35";"CET";"30102";"1618191.60"
"TETRAGON FIN GRP";"GG00B1RMC548";"TFG";"Euronext Amsterdam";"USD";"12.30";"12.35";"12.20";"12.20";"12/11/2018 17:35";"CET";"2188";"23896.09"
"THUNDERBIRD";"VGG885761061";"TBIRD";"Euronext Amsterdam";"USD";"0.185";"0.185";"0.185";"0.185";"26/10/2018 09:00";"CET";"50";"9.25"
"TIE KINETIX";"NL0010389508";"TIE";"Euronext Amsterdam";"EUR";"6.85";"7.10";"6.80";"7.10";"09/11/2018 17:35";"CET";"540";"3710.55"
"TKH GROUP";"NL0000852523";"TWEKA";"Euronext Amsterdam";"EUR";"46.80";"47.00";"45.60";"45.78";"12/11/2018 17:35";"CET";"47957";"2210627.52"
"TOMTOM";"NL0000387058";"TOM2";"Euronext Amsterdam";"EUR";"8.12";"8.402";"7.90";"7.918";"12/11/2018 17:35";"CET";"3130123";"25441077.16"
"UNIBAIL-RODAMCO-WE";"FR0013326246";"URW";"Euronext Amsterdam, Paris";"EUR";"162.48";"162.48";"159.08";"159.50";"12/11/2018 17:35";"CET";"329030";"52531230.88"
"UNILEVER DR";"NL0000009355";"UNA";"Euronext Amsterdam";"EUR";"48.72";"48.72";"48.295";"48.525";"12/11/2018 17:37";"CET";"3208566";"155628763.45"
"UNILEVER OS";"NL0000388619";"UNIA";"Euronext Amsterdam";"EUR";"48.70";"48.70";"48.30";"48.30";"12/11/2018 17:35";"CET";"1348";"65345.10"
"V LANSCHOT KEMPEN";"NL0000302636";"VLK";"Euronext Amsterdam";"EUR";"23.00";"23.20";"22.90";"23.00";"12/11/2018 17:35";"CET";"19324";"445203.20"
"VALUE8";"NL0010661864";"VALUE";"Euronext Amsterdam";"EUR";"5.64";"6.16";"5.60";"6.00";"12/11/2018 17:14";"CET";"71139";"426094.06"
"VALUE8 CUM PREF";"NL0009875483";"PREVA";"Euronext Amsterdam";"EUR";"25.35";"25.35";"25.35";"25.35";"07/11/2018 11:30";"CET";"200";"5070.00"
"VASTNED";"NL0000288918";"VASTN";"Euronext Amsterdam";"EUR";"35.00";"35.00";"34.50";"34.50";"12/11/2018 17:35";"CET";"10108";"349947.45"
"VEON";"BMG9349W1038";"VEON";"Euronext Amsterdam";"EUR";"2.58";"2.66";"2.48";"2.52";"12/11/2018 17:35";"CET";"129816";"331396.88"
"VOLKERWESSELS";"NL0012294466";"KVW";"Euronext Amsterdam";"EUR";"16.20";"16.48";"16.05";"16.05";"12/11/2018 17:35";"CET";"39919";"650141.85"
"VOLTA FINANCE";"GG00B1GHHH78";"VTA";"Euronext Amsterdam";"EUR";"6.84";"6.84";"6.80";"6.80";"12/11/2018 12:58";"CET";"10000";"68102.00"
"VOPAK";"NL0009432491";"VPK";"Euronext Amsterdam";"EUR";"40.87";"40.87";"39.76";"39.90";"12/11/2018 17:35";"CET";"486961";"19533734.91"
"WDP";"BE0003763779";"WDP";"Euronext Brussels, Amsterdam";"EUR";"113.40";"114.00";"111.20";"111.20";"12/11/2018 17:35";"CET";"14571";"1627523.60"
"WERELDHAVE";"NL0000289213";"WHA";"Euronext Amsterdam";"EUR";"30.31";"30.35";"29.70";"29.77";"12/11/2018 17:35";"CET";"228452";"6816789.84"
"WESSANEN";"NL0000395317";"WES";"Euronext Amsterdam";"EUR";"10.20";"10.31";"10.11";"10.16";"12/11/2018 17:35";"CET";"333875";"3424905.19"
"WOLTERS KLUWER";"NL0000395903";"WKL";"Euronext Amsterdam";"EUR";"52.28";"52.74";"51.62";"52.04";"12/11/2018 17:35";"CET";"597157";"31157699.46"
"YATRA";"JE00B1FBT077";"YATRA";"Euronext Amsterdam";"EUR";"3.48";"3.48";"3.46";"3.46";"02/11/2018 11:51";"CET";"350";"1215.00"
